"","V1","V2"
"1","1994/04/15","00"
"2","1994/04/15","12"
"3","1994/04/26","15"
"4","1994/06/26","18"
"5","1994/08/16","12"
"6","1995/04/19","18"
"7","1995/04/20","18"
"8","1995/05/07","12"
"9","1995/05/09","15"
"10","1995/05/18","12"
"11","1995/06/09","12"
"12","1995/11/07","18"
"13","1996/04/19","21"
"14","1996/04/21","21"
"15","1997/02/28","21"
"16","1997/03/01","15"
"17","1997/05/25","21"
"18","1998/04/07","21"
"19","1998/04/15","18"
"20","1998/04/16","12"
"21","1998/05/07","18"
"22","1998/05/30","15"
"23","1998/05/31","15"
"24","1998/06/02","15"
"25","1998/06/13","15"
"26","1998/09/28","12"
"27","1998/09/29","12"
"28","1999/01/01","18"
"29","1999/01/02","12"
"30","1999/01/21","21"
"31","1999/01/22","12"
"32","1999/04/08","15"
"33","1999/05/03","21"
"34","1999/05/04","12"
"35","1999/06/01","21"
"36","1999/06/06","15"
"37","2000/04/02","21"
"38","2000/04/03","12"
"39","2000/04/23","18"
"40","2000/05/17","18"
"41","2000/05/18","15"
"42","2001/04/11","00"
"43","2001/04/11","12"
"44","2001/05/20","15"
"45","2001/06/13","21"
"46","2001/10/09","18"
"47","2001/10/12","18"
"48","2001/10/13","12"
"49","2001/11/24","00"
"50","2001/11/24","12"
"51","2002/04/28","03"
"52","2002/04/28","12"
"53","2002/05/05","21"
"54","2002/11/10","18"
"55","2002/12/18","15"
"56","2002/12/23","12"
"57","2002/12/24","12"
"58","2003/04/24","18"
"59","2003/04/25","12"
"60","2003/05/04","18"
"61","2003/05/05","12"
"62","2003/05/06","12"
"63","2003/05/07","12"
"64","2003/05/08","15"
"65","2003/05/10","00"
"66","2003/05/10","12"
"67","2003/05/15","21"
"68","2003/05/16","18"
"69","2003/06/24","21"
"70","2003/11/17","12"
"71","2004/04/20","18"
"72","2004/05/22","18"
"73","2004/05/24","18"
"74","2004/05/29","21"
"75","2004/05/30","12"
"76","2004/06/11","18"
"77","2004/09/05","12"
"78","2004/09/06","12"
"79","2004/09/07","12"
"80","2004/09/08","12"
"81","2004/09/15","18"
"82","2004/09/16","12"
"83","2004/09/17","15"
"84","2004/09/26","15"
"85","2004/09/27","12"
"86","2004/10/18","12"
"87","2004/11/23","15"
"88","2004/11/24","12"
"89","2005/04/05","18"
"90","2005/04/06","12"
"91","2005/06/03","15"
"92","2005/06/04","18"
"93","2005/06/09","21"
"94","2005/07/06","12"
"95","2005/07/07","12"
"96","2005/08/29","12"
"97","2005/09/24","12"
"98","2005/09/25","12"
"99","2005/11/15","18"
"100","2005/11/27","18"
"101","2006/03/11","21"
"102","2006/03/12","12"
"103","2006/04/02","18"
"104","2006/04/07","15"
"105","2006/09/22","18"
"106","2007/03/01","00"
"107","2007/03/01","12"
"108","2007/03/28","21"
"109","2007/05/05","15"
"110","2007/10/17","21"
"111","2007/10/18","15"
"112","2008/01/07","18"
"113","2008/02/05","21"
"114","2008/03/15","12"
"115","2008/04/09","18"
"116","2008/05/01","21"
"117","2008/05/02","12"
"118","2008/05/10","18"
"119","2008/05/11","12"
"120","2008/05/23","21"
"121","2008/05/25","18"
"122","2008/05/29","18"
"123","2008/06/03","12"
"124","2008/06/04","15"
"125","2008/06/05","18"
"126","2008/06/07","18"
"127","2008/06/11","21"
"128","2008/09/01","12"
"129","2008/09/02","12"
"130","2009/04/10","15"
"131","2009/05/02","18"
"132","2009/05/03","12"
"133","2009/05/08","12"
"134","2009/06/15","18"
"135","2009/10/29","15"
"136","2009/12/23","18"
"137","2009/12/24","12"
"138","2010/04/22","18"
"139","2010/04/23","18"
"140","2010/04/24","12"
"141","2010/05/01","18"
"142","2010/05/10","18"
"143","2010/05/18","21"
"144","2010/05/19","18"
"145","2010/06/05","15"
"146","2010/06/17","15"
"147","2010/10/26","12"
"148","2010/11/29","21"
"149","2010/12/31","12"
"150","2011/02/28","00"
"151","2011/02/28","12"
"152","2011/04/04","12"
"153","2011/04/14","21"
"154","2011/04/15","15"
"155","2011/04/16","15"
"156","2011/04/19","21"
"157","2011/04/22","21"
"158","2011/04/23","18"
"159","2011/04/24","18"
"160","2011/04/25","12"
"161","2011/04/26","21"
"162","2011/04/27","12"
"163","2011/04/28","12"
"164","2011/05/22","18"
"165","2011/05/24","18"
"166","2011/05/25","12"
"167","2011/06/20","15"
"168","2012/01/25","12"
"169","2012/02/28","21"
"170","2012/02/29","12"
"171","2012/03/02","15"
"172","2012/04/14","15"
"173","2012/12/25","15"
"174","2013/01/29","12"
"175","2013/05/20","18"
"176","2013/05/30","18"
"177","2013/05/31","21"
"178","2013/11/17","15"
"179","2014/02/20","18"
"180","2014/04/27","15"
"181","2014/04/28","15"
"182","2014/05/11","18"
"183","2014/06/16","18"
"184","2014/06/30","15"
"185","2014/10/13","12"
"186","2015/05/06","18"
"187","2015/05/16","18"
"188","2015/05/19","15"
"189","2015/05/23","21"
"190","2015/05/25","12"
"191","2015/11/16","21"
"192","2015/12/23","12"
"193","2016/02/23","15"
"194","2016/04/26","18"
"195","2016/05/24","21"
"196","2016/11/29","21"
"197","2016/11/30","12"
"198","2017/01/02","15"
"199","2017/01/21","12"
"200","2017/01/21","21"
"201","2017/01/22","12"
"202","2017/02/28","21"
"203","2017/03/01","12"
"204","2017/03/06","21"
"205","2017/03/28","21"
"206","2017/03/29","15"
"207","2017/04/02","15"
"208","2017/04/03","12"
"209","2017/04/29","18"
"210","2017/04/30","12"
"211","2017/05/18","18"
"212","2017/05/19","18"
